alert_id,alert_time,user,account_type,department,office,privileged,tenure_days,days_until_departure,rule_name,new_device,new_country,geo_velocity_kmh,failed_logins_1h,hour_unusualness,mfa_method,asn_type,ip_reputation,logins_24h,logins_7d,distinct_ips_7d,bytes_out_mb,session_minutes,browser,os,user_agent_length,analyst,triage_minutes,verdict
ALR-000001,2026-03-01T00:34:31Z,acollins,human,Engineering,San Francisco,0,2897,,R04_off_hours,0,0,0.0,1,0.599,push,mobile,71.0,8,50,2,17.5,5.0,chrome,macos,162,a1,17.0,false_positive
ALR-000002,2026-03-01T00:36:03Z,aharris,human,Marketing,San Francisco,1,1379,,R04_off_hours,0,0,0.0,1,0.663,totp,hosting,,7,52,3,34.6,6.3,chrome,windows,198,a2,15.9,true_positive
ALR-000003,2026-03-01T00:38:59Z,crogers,human,Marketing,San Francisco,0,2141,,R03_failed_login_burst,1,0,0.0,16,0.191,totp,residential,58.0,6,44,5,1.0,8.9,chrome,macos,231,a3,11.6,false_positive
ALR-000004,2026-03-01T00:57:31Z,cstewart,human,Finance,New York,1,2617,,R03_failed_login_burst,0,0,0.0,10,0.096,sms,residential,52.0,11,78,2,9.6,12.6,chrome,windows,118,a4,6.4,false_positive
ALR-000005,2026-03-01T01:05:13Z,cbell,human,Engineering,Austin,0,1292,,R04_off_hours,1,0,618.0,1,0.892,totp,residential,80.0,11,74,2,38.0,34.1,chrome,macos,188,a2,72.1,true_positive
ALR-000006,2026-03-01T01:06:35Z,cperez,human,People,San Francisco,0,2308,,R06_risky_ip,0,0,392.0,2,0.129,push,residential,89.0,8,45,3,14.3,30.3,safari,macos,252,a4,5.9,false_positive
ALR-000007,2026-03-01T01:18:11Z,svc_billing_sync,service,Service,Datacenter,1,483,,R04_off_hours,0,0,0.0,2,0.687,sms,corporate,,393,2560,3,13.5,23.6,edge,windows,155,a5,20.3,false_positive
ALR-000008,2026-03-01T01:45:31Z,ajones,human,Security,London,0,1944,,R04_off_hours,0,0,0.0,0,0.84,push,corporate,68.0,5,31,7,8.6,18.0,firefox,macos,247,a5,7.3,false_positive
ALR-000009,2026-03-01T01:46:26Z,rwashington,human,Marketing,New York,0,1508,,R05_new_country,0,1,0.0,0,0.179,sms,residential,95.0,9,66,3,65.4,30.0,chrome,macos,172,a6,4.4,false_positive
ALR-000010,2026-03-01T02:11:47Z,ngreen,human,Finance,Austin,0,1581,,R01_impossible_travel,0,0,6185.0,2,0.491,push,corporate,,10,61,1,83.8,32.0,chrome,ios,182,a4,6.3,false_positive
ALR-000011,2026-03-01T02:12:15Z,mramirez4,human,Engineering,San Francisco,0,2926,,R03_failed_login_burst,0,0,0.0,9,0.516,push,corporate,61.0,9,58,3,9.6,8.2,safari,windows,124,a3,7.3,false_positive
ALR-000012,2026-03-01T02:30:15Z,ldiaz,human,Marketing,San Francisco,0,2517,,R04_off_hours,0,0,0.0,0,0.468,push,hosting,35.0,12,89,2,1.8,3.8,chrome,macos,187,a5,15.3,false_positive
