event_id,event_time,source,user,src_ip,geo_city,geo_country,device_id,app,result,failure_reason
evt_46bbde4315,2026-09-07T00:00:00Z,okta,svc_jenkins,10.20.8.3,,,srv-ci02,github,SUCCESS,
evt_1f970e3c34,2026-09-07T00:00:00Z,okta,svc_etl_reporting,10.20.4.15,,,srv-etl01,salesforce,SUCCESS,
evt_2849b32867,2026-09-07T00:01:18Z,okta,svc_etl_reporting,10.20.4.15,,,srv-etl01,salesforce,SUCCESS,
evt_521baba83e,2026-09-07T00:02:52Z,okta,svc_etl_reporting,10.20.4.15,,,srv-etl01,salesforce,SUCCESS,
evt_8746f6c194,2026-09-07T00:04:32Z,okta,svc_etl_reporting,10.20.4.15,,,srv-etl01,salesforce,SUCCESS,
evt_346a6d2d6c,2026-09-07T00:05:00Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_64eab8bfbf,2026-09-07T00:05:07Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_54ede66f32,2026-09-07T00:05:14Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_2466705807,2026-09-07T00:05:23Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_eafd7009d5,2026-09-07T00:05:30Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_2c87289be1,2026-09-07T00:05:37Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_d565c71720,2026-09-07T00:05:42Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
evt_06702e8f8f,2026-09-07T00:05:50Z,okta,svc_etl_reporting,10.20.4.15,,,srv-etl01,salesforce,SUCCESS,
evt_b602ca42ae,2026-09-07T00:05:51Z,okta,svc_backup,10.20.4.22,,,srv-bkp01,gdrive,SUCCESS,
